"filename", "language", "PHP", "PostCSS", "SQLite", "JavaScript", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\SUA-IntelliLearn\config\config.php", "PHP", 70, 0, 0, 0, 0, 45, 20, 135
"c:\xampp\htdocs\SUA-IntelliLearn\config\create_admin.php", "PHP", 13, 0, 0, 0, 0, 0, 6, 19
"c:\xampp\htdocs\SUA-IntelliLearn\config\hashed_pass.php", "PHP", 24, 0, 0, 0, 0, 4, 10, 38
"c:\xampp\htdocs\SUA-IntelliLearn\includes\admin_header.php", "PHP", 199, 0, 0, 0, 0, 18, 7, 224
"c:\xampp\htdocs\SUA-IntelliLearn\includes\admin_sidebar.php", "PHP", 94, 0, 0, 0, 0, 5, 11, 110
"c:\xampp\htdocs\SUA-IntelliLearn\includes\announcements_feed_snippet.php", "PHP", 15, 0, 0, 0, 0, 9, 2, 26
"c:\xampp\htdocs\SUA-IntelliLearn\includes\css\admin_sidebar.css", "PostCSS", 0, 307, 0, 0, 0, 11, 47, 365
"c:\xampp\htdocs\SUA-IntelliLearn\includes\css\header.css", "PostCSS", 0, 87, 0, 0, 0, 7, 13, 107
"c:\xampp\htdocs\SUA-IntelliLearn\includes\css\teacher_sidebar.css", "PostCSS", 0, 414, 0, 0, 0, 29, 63, 506
"c:\xampp\htdocs\SUA-IntelliLearn\includes\teacher_header.php", "PHP", 487, 0, 0, 0, 0, 39, 40, 566
"c:\xampp\htdocs\SUA-IntelliLearn\includes\teachers_sidebar.php", "PHP", 184, 0, 0, 0, 0, 10, 24, 218
"c:\xampp\htdocs\SUA-IntelliLearn\index.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\add_course.php", "PHP", 82, 0, 0, 0, 0, 6, 14, 102
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\add_enrollment_request.php", "PHP", 137, 0, 0, 0, 0, 31, 25, 193
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\add_section.php", "PHP", 61, 0, 0, 0, 0, 7, 15, 83
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\add_subject.php", "PHP", 44, 0, 0, 0, 0, 5, 13, 62
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\announcement.php", "PHP", 359, 0, 0, 0, 0, 30, 45, 434
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\approve_enrollment.php", "PHP", 103, 0, 0, 0, 0, 19, 26, 148
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\assests\api\add_class_modal.php", "PHP", 154, 0, 0, 0, 0, 0, 22, 176
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\assests\api\add_user_handler.php", "PHP", 182, 0, 0, 0, 0, 25, 30, 237
